coddept,codmpio,codpoblado,department,municipio,refined_name_key
15,15686,15686000,BOYACï¿_,SANTANA,santa ana
15,15690,15690000,BOYACï¿_,SANTA MARï¿_A,santa marï¿_a
15,15693,15693000,BOYACï¿_,SANTA ROSA DE VITERBO,santa rosa de viterbo
15,15696,15696000,BOYACï¿_,SANTA SOFï¿_A,santa sofï¿_a
15,15720,15720000,BOYACï¿_,SATIVANORTE,sativanorte
15,15723,15723000,BOYACï¿_,SATIVASUR,sativasur
15,15740,15740000,BOYACï¿_,SIACHOQUE,siachoque
15,15753,15753000,BOYACï¿_,SOATï¿_,soatï¿_
15,15755,15755000,BOYACï¿_,SOCOTï¿_,socotï¿_
15,15757,15757000,BOYACï¿_,SOCHA,socha
15,15759,15759000,BOYACï¿_,SOGAMOSO,sogamoso
15,15761,15761000,BOYACï¿_,SOMONDOCO,somondoco
15,15762,15762000,BOYACï¿_,SORA,sora
15,15763,15763000,BOYACï¿_,SOTAQUIRï¿_,sotaquirï¿_
15,15764,15764000,BOYACï¿_,SORACï¿_,soracï¿_
15,15774,15774000,BOYACï¿_,SUSACï¿_N,susacï¿_n
15,15776,15776000,BOYACï¿_,SUTAMARCHï¿_N,sutamarchï¿_n
15,15778,15778000,BOYACï¿_,SUTATENZA,sutatenza
15,15790,15790000,BOYACï¿_,TASCO,tasco
15,15798,15798000,BOYACï¿_,TENZA,tenza
15,15804,15804000,BOYACï¿_,TIBANï¿_,tibanï¿_
15,15806,15806000,BOYACï¿_,TIBASOSA,tibasosa
15,15808,15808000,BOYACï¿_,TINJACï¿_,tinjacï¿_
15,15810,15810000,BOYACï¿_,TIPACOQUE,tipacoque
15,15814,15814000,BOYACï¿_,TOCA,toca
15,15816,15816000,BOYACï¿_,TOGÊê,togÊê
15,15820,15820000,BOYACï¿_,Tï¿_PAGA,tï¿_paga
15,15822,15822000,BOYACï¿_,TOTA,tota
15,15832,15832000,BOYACï¿_,TUNUNGUï¿_,tununguï¿_
15,15835,15835000,BOYACï¿_,TURMEQUï¿_,turmeque
15,15837,15837000,BOYACï¿_,TUTA,tuta
15,15839,15839000,BOYACï¿_,TUTAZï¿_,tutazï¿_
15,15842,15842000,BOYACï¿_,ï¿_MBITA,ï¿_mbita
15,15861,15861000,BOYACï¿_,VENTAQUEMADA,ventaquemada
15,15879,15879000,BOYACï¿_,VIRACACHï¿_,viracachï¿_
15,15897,15897000,BOYACï¿_,ZETAQUIRA,zetaquira
17,17001,17001000,CALDAS,MANIZALES,manizales
17,17013,17013000,CALDAS,AGUADAS,aguadas
17,17042,17042000,CALDAS,ANSERMA,anserma
17,17050,17050000,CALDAS,ARANZAZU,aranzazu
17,17088,17088000,CALDAS,BELALCï¿_ZAR,belalcazar
17,17174,17174000,CALDAS,CHINCHINï¿_,chinchinï¿_
17,17272,17272000,CALDAS,FILADELFIA,filadelfia
17,17380,17380000,CALDAS,LA DORADA,la dorada
17,17388,17388000,CALDAS,LA MERCED,la merced
17,17433,17433000,CALDAS,MANZANARES,manzanares
17,17442,17442000,CALDAS,MARMATO,marmato
17,17444,17444000,CALDAS,MARQUETALIA,marquetalia
17,17446,17446000,CALDAS,MARULANDA,marulanda
17,17486,17486000,CALDAS,NEIRA,neira
17,17495,17495000,CALDAS,NORCASIA,norcasia
17,17513,17513000,CALDAS,Pï¿_CORA,pacora
17,17524,17524000,CALDAS,PALESTINA,palestina
17,17541,17541000,CALDAS,PENSILVANIA,pensilvania
17,17614,17614000,CALDAS,RIOSUCIO,riosucio
17,17616,17616000,CALDAS,RISARALDA,risaralda
17,17653,17653000,CALDAS,SALAMINA,salamina
17,17662,17662000,CALDAS,SAMANï¿_,samanï¿_
17,17665,17665000,CALDAS,SAN JOSï¿_,san josï¿_
17,17777,17777000,CALDAS,SUPï¿_A,supï¿_a
17,17867,17867000,CALDAS,VICTORIA,victoria
17,17873,17873000,CALDAS,VILLAMARï¿_A,villa marï¿_a
17,17877,17877000,CALDAS,VITERBO,viterbo
18,18001,18001000,CAQUETï¿_,FLORENCIA,florencia
18,18029,18029000,CAQUETï¿_,ALBANIA,albania
18,18094,18094000,CAQUETï¿_,BELï¿_N DE LOS ANDAQUï¿_ES,bel_n de los andaquï¿_es
18,18150,18150000,CAQUETï¿_,CARTAGENA DEL CHAIRï¿_,cartagena del chairï¿_
18,18205,18205000,CAQUETï¿_,CURILLO,curillo
18,18247,18247000,CAQUETï¿_,EL DONCELLO,el doncello
18,18256,18256000,CAQUETï¿_,EL PAUJï¿_L,el paujil
18,18410,18410000,CAQUETï¿_,LA MONTAï¿_ITA,la montaï¿_ita
18,18460,18460000,CAQUETï¿_,MILï¿_N,milï¿_n
18,18479,18479000,CAQUETï¿_,MORELIA,morelia
18,18592,18592000,CAQUETï¿_,PUERTO RICO,puerto rico
18,18610,18610000,CAQUETï¿_,SAN JOSï¿_ DEL FRAGUA,san jos_ del fragua
18,18753,18753000,CAQUETï¿_,SAN VICENTE DEL CAGUï¿_N,san vicente del caguï¿_n
18,18756,18756000,CAQUETï¿_,SOLANO,solano
18,18785,18785000,CAQUETï¿_,SOLITA,solita
18,18860,18860000,CAQUETï¿_,VALPARAï¿_SO,valparaiso
19,19001,19001000,CAUCA,POPAYï¿_N,popayï¿_n
19,19022,19022000,CAUCA,ALMAGUER,almaguer
19,19050,19050000,CAUCA,ARGELIA,argelia
19,19075,19075000,CAUCA,BALBOA,balboa
