municipality,refined_name_key
Saravena,saravena
Segovia,segovia
Simacota,simacota
Simit•À_,simit•À_
Sup•À_a,sup•À_a
Tame,tame
Taraz•À_,taraz•À_
Tib•À_,tib•À_
Timb•À_o,timb•À_o
Titirib•À_,titirib•À_
Tona,tona
Toro,toro
Totor•À_,totor•À_
Trinidad,trinidad
Trujillo,trujillo
Tulu•À_,tulu•À_
Turbo,turbo
Valdivia,valdivia
Valencia,valencia
Valledupar,valledupar
Valparaiso,valparaiso
Villa del Rosario,villa del rosario
Villavicencio,villavicencio
Vista Hermosa,vista hermosa
Yond•À_,yond•À_
Yumbo,yumbo
Zambrano,zambrano
 Purac_,purac_
Abrego,abrego
Acevedo,acevedo
Ach•À_,ach•À_
Aguachica,aguachica
Agust•À_n Codazzi,agust•À_n codazzi
Albania,albania
Altamira,altamira
Amalfi,amalfi
Andes,andes
Apartad•À_,apartad•À_
Aracataca,aracataca
Arauquita,arauquita
Arboledas,arboledas
Arboletes,arboletes
Ariguan•À_,ariguan•À_
Astrea,astrea
Ataco,ataco
Ayapel,ayapel
Balboa,balboa
Barrancabermeja,barrancabermeja
Barranquilla,barranquilla
Bello,bello
Bochalema,bochalema
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bosconia,bosconia
Bucaramanga,bucaramanga
Bugalagrande,bugalagrande
C•À_ceres,c•À_ceres
Cachira,cachira
Cali,cali
Candelaria,candelaria
Caparrap•À_,caparrap•À_
Carcasi,carcasi
Carepa,carepa
Cartago,cartago
Caucasia,caucasia
Cerrito,cerrito
Chaparral,chaparral
Charta,charta
Chigorod•À_,chigorod•À_
Chimichagua,chimichagua
Chiriguan•À_,chiriguan•À_
Cienaga,cienaga
Cimitarra,cimitarra
Coloso,coloso
Corinto,corinto
Corozal,corozal
Coyaima,coyaima
Cravo Norte,cravo norte
C•À_cuta,c•À_cuta
Curuman•À_,curuman•À_
Dabeiba,dabeiba
Durania,durania
El Amparo,el amparo
El Banco,el banco
El Carmen,el carmen
El Carmen de Bol•À_var,el carmen de bol•À_var
El Carmen de Chucur•À_,el carmen de chucur•À_
El Castillo,el castillo
El Centro,el centro
El Play•À_n,el play•À_n
Envigado,envigado
Espinal,espinal
Fundaci•À_n,fundaci•À_n
Fusagasug•À_,fusagasug•À_
Gamarra,gamarra
Girardot,girardot
Gir•À_n,gir•À_n
Granada,granada
Guaca,guaca
Guachucal,guachucal
Hacari,hacari
La Macarena,la macarena
La Palma,la palma
La Plata,la plata
Lebrija,lebrija
Los Palmitos,los palmitos
Macanal,macanal
Macaravita,macaravita
Maceo,maceo
Magdalena,magdalena
Manaure,manaure
Mar•À_a La Baja,mar•À_a la baja
Marinilla,marinilla
Medell•À_n,medell•À_n
Mesetas,mesetas
Miraflores,miraflores
Miranda,miranda
Momil,momil
Montelibano,montel•À_bano
Montenegro,montenegro
Monter•À_a,monter•À_a
Mosquera,mosquera
Murind•À_,murind•À_
Mutat•À_,mutat•À_
Muzo,muzo
Obando,obando
Oca•À_a,oca•À_a
Orito,orito
Otanche,otanche
Ovejas,ovejas
Pailitas,pailitas
Palmira,palmira
Pasto,pasto
Patia (El Bordo),patia (el bordo)
Pelaya,pelaya
Pereira,pereira
Piedecuesta,piedecuesta
Pinillos,pinillos
Pivijay,pivijay
Planadas,planadas
Planeta Rica,planeta rica
Plato,plato
Pueblo Nuevo,pueblo nuevo
Pueblo Rico,pueblo rico
Puerto Asis,puerto as•À_s
Puerto Berr•À_o,puerto berr•À_o
Puerto Libertador,puerto libertador
Puerto Nare,puerto nare
Puerto Parra,puerto parra
Puerto Rico,puerto rico
Puerto Rond•À_n,puerto rond•À_n
Puerto Triunfo,puerto triunfo
Puerto Wilches,puerto wilches
Restrepo,restrepo
Rionegro,rionegro
Roldanillo,roldanillo
Rosas,rosas
Sabana de Torres,sabana de torres
Salgar,salgar
San Alberto,san alberto
San Andr_s de Sotavento,san andr_s de sotavento
San Calixto,san calixto
San Carlos,san carlos
San Diego,san diego
San Gil,san gil
San Jacinto,san jacinto
